variable_1,variable_2,quadratic_coefficient,conflict_type
x_1_5,x_1_10,8.0,shared_nucleotide
x_1_5,x_1_11,8.0,shared_nucleotide
x_1_5,x_1_12,8.0,shared_nucleotide
x_1_5,x_1_14,8.0,shared_nucleotide
x_1_5,x_1_15,8.0,shared_nucleotide
x_1_5,x_1_18,8.0,shared_nucleotide
x_1_5,x_1_19,8.0,shared_nucleotide
x_1_5,x_1_25,8.0,shared_nucleotide
x_1_5,x_1_30,8.0,shared_nucleotide
x_1_5,x_1_32,8.0,shared_nucleotide
x_1_5,x_1_37,8.0,shared_nucleotide
x_1_5,x_1_38,8.0,shared_nucleotide
x_1_5,x_1_39,8.0,shared_nucleotide
x_1_5,x_1_41,8.0,shared_nucleotide
x_1_5,x_1_42,8.0,shared_nucleotide
x_1_5,x_1_43,8.0,shared_nucleotide
x_1_5,x_2_10,8.0,crossing_pair
x_1_5,x_2_11,8.0,crossing_pair
x_1_5,x_2_12,8.0,crossing_pair
x_1_5,x_2_14,8.0,crossing_pair
x_1_5,x_2_15,8.0,crossing_pair
x_1_5,x_2_18,8.0,crossing_pair
x_1_5,x_2_19,8.0,crossing_pair
x_1_5,x_2_25,8.0,crossing_pair
x_1_5,x_2_30,8.0,crossing_pair
x_1_5,x_2_32,8.0,crossing_pair
x_1_5,x_2_37,8.0,crossing_pair
x_1_5,x_2_38,8.0,crossing_pair
x_1_5,x_2_39,8.0,crossing_pair
x_1_5,x_2_41,8.0,crossing_pair
x_1_5,x_2_42,8.0,crossing_pair
x_1_5,x_2_43,8.0,crossing_pair
x_1_5,x_3_11,8.0,crossing_pair
x_1_5,x_3_12,8.0,crossing_pair
x_1_5,x_3_14,8.0,crossing_pair
x_1_5,x_3_18,8.0,crossing_pair
x_1_5,x_3_19,8.0,crossing_pair
x_1_5,x_3_30,8.0,crossing_pair
x_1_5,x_3_37,8.0,crossing_pair
x_1_5,x_3_38,8.0,crossing_pair
x_1_5,x_3_39,8.0,crossing_pair
x_1_5,x_3_42,8.0,crossing_pair
x_1_5,x_3_43,8.0,crossing_pair
x_1_5,x_4_10,8.0,crossing_pair
x_1_5,x_4_11,8.0,crossing_pair
x_1_5,x_4_12,8.0,crossing_pair
x_1_5,x_4_14,8.0,crossing_pair
x_1_5,x_4_15,8.0,crossing_pair
x_1_5,x_4_18,8.0,crossing_pair
x_1_5,x_4_19,8.0,crossing_pair
x_1_5,x_4_25,8.0,crossing_pair
x_1_5,x_4_30,8.0,crossing_pair
x_1_5,x_4_32,8.0,crossing_pair
x_1_5,x_4_37,8.0,crossing_pair
x_1_5,x_4_38,8.0,crossing_pair
x_1_5,x_4_39,8.0,crossing_pair
x_1_5,x_4_41,8.0,crossing_pair
x_1_5,x_4_42,8.0,crossing_pair
x_1_5,x_4_43,8.0,crossing_pair
x_1_5,x_5_13,8.0,shared_nucleotide
x_1_5,x_5_16,8.0,shared_nucleotide
x_1_5,x_5_20,8.0,shared_nucleotide
x_1_5,x_5_22,8.0,shared_nucleotide
x_1_5,x_5_34,8.0,shared_nucleotide
x_1_5,x_5_40,8.0,shared_nucleotide
x_1_5,x_5_44,8.0,shared_nucleotide
x_1_10,x_1_11,8.0,shared_nucleotide
x_1_10,x_1_12,8.0,shared_nucleotide
x_1_10,x_1_14,8.0,shared_nucleotide
x_1_10,x_1_15,8.0,shared_nucleotide
x_1_10,x_1_18,8.0,shared_nucleotide
x_1_10,x_1_19,8.0,shared_nucleotide
x_1_10,x_1_25,8.0,shared_nucleotide
x_1_10,x_1_30,8.0,shared_nucleotide
